1,AUTO TOURING
2,BIKING
3,CLIMBING
5,FISHING
7,HORSEBACK RIDING
6,HIKING
8,WILDLIFE VIEWING
9,PHOTOGRAPHY
4,CAMPING
10,BOATING
11,SWIMMING
12,DIVING
13,HUNTING
14,PADDLING
15,INTERPRETIVE PROGRAMS
16,PICNICKING
17,SNORKELING
18,WATER SPORTS
19,VISITOR CENTER
20,HORSE CAMPING
